Unnamed: 0,ID,Title,Year,Age,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,RT_Score,Age_Num,Platform_Count,Cluster,PCA1,PCA2
0,1,The Irishman,2019,18+,98/100,1,0,0,0,0,98.0,18.0,1,6,-2.738324849011875,1.3803937534406883
1,2,Dangal,2016,7+,97/100,1,0,0,0,0,97.0,7.0,1,6,-2.351087163504504,0.6624930432228949
2,3,David Attenborough: A Life on Our Planet,2020,7+,95/100,1,0,0,0,0,95.0,7.0,1,6,-2.394643921239739,0.5864266573550462
3,4,Lagaan: Once Upon a Time in India,2001,7+,94/100,1,0,0,0,0,94.0,7.0,1,6,-1.9541318504142269,0.5828552177418053
4,5,Roma,2018,18+,94/100,1,0,0,0,0,94.0,18.0,1,6,-2.6273138860424328,1.2430303045567128
5,6,To All the Boys I've Loved Before,2018,13+,94/100,1,0,0,0,0,94.0,13.0,1,6,-2.491428927094183,0.9302699878994686
6,7,The Social Dilemma,2020,13+,93/100,1,0,0,0,0,93.0,13.0,1,6,-2.513207305961801,0.8922367949655444
7,8,Okja,2017,13+,92/100,1,0,0,0,0,92.0,13.0,1,6,-2.424916530140578,0.8624087813936875
8,9,The Ballad of Buster Scruggs,2018,16+,92/100,1,0,0,0,0,92.0,16.0,1,6,-2.528461336447296,1.0484239355156204
9,10,The Trial of the Chicago 7,2020,18+,92/100,1,0,0,0,0,92.0,18.0,1,6,-2.6268429819021315,1.170245990433691
10,11,Article 15,2019,18+,92/100,1,0,0,0,0,92.0,18.0,1,6,-2.6048291509643637,1.1718870263061048
11,12,"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,18+,92/100,1,0,0,0,0,92.0,18.0,1,6,-2.5608014890888273,1.1751690980509317
12,13,Dolemite Is My Name,2019,18+,92/100,1,0,0,0,0,92.0,18.0,1,6,-2.6048291509643637,1.1718870263061048
13,14,Mudbound,2017,18+,91/100,1,0,0,0,0,91.0,18.0,1,6,-2.538552206080909,1.1404179768618343
14,15,Swades,2004,all,91/100,1,0,0,0,0,91.0,0.0,1,6,-1.7631865516762266,0.03581430323713146
15,16,Fyre,2019,18+,91/100,1,0,0,0,0,91.0,18.0,1,6,-2.582579867956445,1.1371359051170074
16,17,Miss Americana,2020,18+,90/100,1,0,0,0,0,90.0,18.0,1,6,-2.5823444158862947,1.1007437480554965
17,18,Virunga,2014,16+,90/100,1,0,0,0,0,90.0,16.0,1,6,-2.3959074466803862,0.9854858366270798
18,19,Black Friday,2004,18+,90/100,1,0,0,0,0,90.0,18.0,1,6,-2.230123120882005,1.1270003220141123
19,20,Talvar,2015,7+,90/100,1,0,0,0,0,90.0,7.0,1,6,-2.173328351511306,0.4208762307716273
20,21,The King,2019,18+,90/100,1,0,0,0,0,90.0,18.0,1,6,-2.5603305849485265,1.10238478392791
21,22,John Mulaney: Kid Gorgeous at Radio City,2018,18+,89/100,1,0,0,0,0,89.0,18.0,1,6,-2.51606747100284,1.0692746986112263
22,23,I Am Mother,2019,13+,89/100,1,0,0,0,0,89.0,13.0,1,6,-2.402196342992359,0.7548733460815685
23,24,Tell Me Who I Am,2019,18+,89/100,1,0,0,0,0,89.0,18.0,1,6,-2.538081301940608,1.0676336627388128
24,25,The Departed,2006,18+,89/100,1,0,0,0,0,89.0,18.0,1,6,-2.2519014997496227,1.0889671290801881
25,26,Winter on Fire: Ukraine's Fight for Freedom,2015,16+,89/100,1,0,0,0,0,89.0,16.0,1,6,-2.395671994610236,0.9490936795655691
26,27,Terminator 2: Judgment Day,1991,18+,89/100,1,0,0,0,0,89.0,18.0,1,6,-1.9216940356831016,1.1135826671663904
27,28,I Lost My Body,2019,18+,89/100,1,0,0,0,0,89.0,18.0,1,6,-2.538081301940608,1.0676336627388128
28,29,Django Unchained,2012,18+,89/100,1,0,0,0,0,89.0,18.0,1,6,-2.3839844853762315,1.0791209138457072
29,30,The Half of It,2020,13+,89/100,1,0,0,0,0,89.0,13.0,1,6,-2.4242101739301267,0.753232310209155
30,31,The Boy Who Harnessed the Wind,2019,7+,89/100,1,0,0,0,0,89.0,7.0,1,6,-2.2391343922544595,0.37956096609287593
31,32,The Devil All the Time,2020,18+,89/100,1,0,0,0,0,89.0,18.0,1,6,-2.560095132878376,1.0659926268663993
32,33,The Fundamentals of Caring,2016,18+,89/100,1,0,0,0,0,89.0,18.0,1,6,-2.472039809127304,1.0725567703560532
33,34,Pieces of a Woman,2020,18+,88/100,1,0,0,0,0,88.0,18.0,1,6,-2.5378458498704575,1.0312415056773019
34,35,Gerald's Game,2017,18+,88/100,1,0,0,0,0,88.0,18.0,1,6,-2.4718043570571533,1.0361646132945423
35,36,On Body and Soul,2017,,88/100,1,0,0,0,0,88.0,0.0,1,6,-1.9826185048434561,-0.08977252667153574
36,37,Shutter Island,2010,18+,88/100,1,0,0,0,0,88.0,18.0,1,6,-2.3177075404927767,1.0476518644014368
37,38,Always Be My Maybe,2019,13+,88/100,1,0,0,0,0,88.0,13.0,1,6,-2.37994705998444,0.7201222248924714
38,39,The Intouchables,2011,7+,88/100,1,0,0,0,0,88.0,7.0,1,6,-2.0407744617443964,0.35793813188308665
39,40,Bill Burr: Paper Tiger,2019,18+,87/100,1,0,0,0,0,87.0,18.0,1,6,-2.493582735924771,0.998131420360618
40,41,Special 26,2013,,87/100,1,0,0,0,0,87.0,0.0,1,6,-1.8723138980844654,-0.11795950437097918
41,42,Kiss the Ground,2020,18+,87/100,1,0,0,0,0,87.0,18.0,1,6,-2.515596566862539,0.9964903844882045
42,43,Crip Camp: A Disability Revolution,2020,18+,87/100,1,0,0,0,0,87.0,18.0,1,6,-2.515596566862539,0.9964903844882045
43,44,Extraction,2020,18+,87/100,1,0,0,0,0,87.0,18.0,1,6,-2.515596566862539,0.9964903844882045
44,45,No Direction Home: Bob Dylan,2005,all,87/100,1,0,0,0,0,87.0,0.0,1,6,-1.6962032505823206,-0.10483121739167117
45,46,Kabhi Khushi Kabhie Gham,2001,all,87/100,1,0,0,0,0,87.0,0.0,1,6,-1.6081479268312482,-0.09826707390201722
46,47,His House,2020,16+,87/100,1,0,0,0,0,87.0,16.0,1,6,-2.4612425832832394,0.8713862578253068
47,48,Super Deluxe,2019,18+,87/100,1,0,0,0,0,87.0,18.0,1,6,-2.493582735924771,0.998131420360618
48,49,The Guernsey Literary & Potato Peel Pie Society,2018,16+,87/100,1,0,0,0,0,87.0,16.0,1,6,-2.417214921407703,0.8746683295701337
49,50,A Secret Love,2020,18+,87/100,1,0,0,0,0,87.0,18.0,1,6,-2.515596566862539,0.9964903844882045
50,51,The Night Comes for Us,2018,18+,87/100,1,0,0,0,0,87.0,18.0,1,6,-2.4715689049870027,0.9997724562330315
51,52,The Big Lebowski,1998,18+,87/100,1,0,0,0,0,87.0,18.0,1,6,-2.031292286231641,1.0325931736813014
52,53,Pad Man,2018,13+,87/100,1,0,0,0,0,87.0,13.0,1,6,-2.3356839460387535,0.6870121395757874
53,54,American Factory,2019,13+,86/100,1,0,0,0,0,86.0,13.0,1,6,-2.3354484939686033,0.6506199825142768
54,55,Bird Box,2018,18+,86/100,1,0,0,0,0,86.0,18.0,1,6,-2.4493196219790843,0.9650213350439343
55,56,The Pianist,2002,18+,86/100,1,0,0,0,0,86.0,18.0,1,6,-2.0970983269747947,0.9912779090025501
56,57,3 Idiots,2009,13+,86/100,1,0,0,0,0,86.0,13.0,1,6,-2.115310184590922,0.6670303412384117
57,58,The Distinguished Citizen,2016,,86/100,1,0,0,0,0,86.0,0.0,1,6,-1.9161061078898511,-0.15763373317731696
58,59,A Shaun the Sheep Movie: Farmageddon,2019,all,86/100,1,0,0,0,0,86.0,0.0,1,6,-1.9821476007031553,-0.16255684079455743
59,60,A Clockwork Orange,1971,18+,86/100,1,0,0,0,0,86.0,18.0,1,6,-1.4146695679039842,1.0421500210473684
60,61,What Happened to Monday,2017,18+,86/100,1,0,0,0,0,86.0,18.0,1,6,-2.427305791041316,0.9666623709163478
61,62,Anthony Jeselnik: Thoughts and Prayers,2015,18+,86/100,1,0,0,0,0,86.0,18.0,1,6,-2.38327812916578,0.9699444426611747
62,63,The White Helmets,2016,16+,86/100,1,0,0,0,0,86.0,16.0,1,6,-2.350937976524248,0.8431992801258635
63,64,Invader ZIM: Enter the Florpus,2019,7+,86/100,1,0,0,0,0,86.0,7.0,1,6,-2.172386543230704,0.2753076025255839
64,65,Happy as Lazzaro,2018,13+,85/100,1,0,0,0,0,85.0,13.0,1,6,-2.2911853800229167,0.6175098971975931
65,66,Chasing Coral,2017,,85/100,1,0,0,0,0,85.0,0.0,1,6,-1.9158706558197007,-0.19402589023882752
66,67,Kal Ho Naa Ho,2003,all,85/100,1,0,0,0,0,85.0,0.0,1,6,-1.6076770226909474,-0.17105138802503858
67,68,Pan's Labyrinth,2006,18+,85/100,1,0,0,0,0,85.0,18.0,1,6,-2.1629043677179487,0.949962644323799
